appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,Name,October 2021,September 2021,August 2021,July 2021,June 2021,May 2021
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,5326804,716468,0,"50,000,000 .. 100,000,000",29817,828,7030,313,0,0,0,733346,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","Action, Free to Play","{'FPS': 87083, 'Shooter': 62473, 'Multiplayer': 59683, 'Competitive': 51133, 'Action': 45707, 'Team-Based': 44651, 'e-sports': 41508, 'Tactical': 39828, 'First-Person': 37819, 'PvP': 32999, 'Online Co-Op': 32734, 'Co-op': 29187, 'Strategy': 29062, 'Military': 27712, 'War': 27144, 'Difficult': 25221, 'Trading': 24796, 'Realistic': 24596, 'Fast-Paced': 24589, 'Moddable': 5876}", CounterStrike: Global Offensive,774921,799736,754773,732969,814927,968620
570,Dota 2,Valve,Valve,nan,1361978,263296,0,"100,000,000 .. 200,000,000",36004,1564,1066,813,0.0,0.0,0.0,535480,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Action, Free to Play, Strategy","{'Free to Play': 58118, 'MOBA': 19294, 'Multiplayer': 14524, 'Strategy': 13571, 'e-sports': 11020, 'Team-Based': 10406, 'Competitive': 7759, 'Action': 7546, 'Online Co-Op': 7046, 'PvP': 5577, 'Difficult': 4925, 'Co-op': 3946, 'RTS': 3814, 'Tower Defense': 3510, 'Fantasy': 3470, 'RPG': 3466, 'Character Customization': 2675, 'Replay Value': 2584, 'Action RPG': 2252, 'Simulation': 1773}",Dota 2,680495,595750.0,631519.0,635192.0,629225.0,622007.0
578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",nan,1027262,837059,0,"50,000,000 .. 100,000,000",26414,509,12140,172,2999.0,2999.0,0.0,202007,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian","Action, Adventure, Massively Multiplayer","{'Survival': 13557, 'Shooter': 11351, 'Multiplayer': 9837, 'Battle Royale': 9494, 'FPS': 7454, 'PvP': 7114, 'Third-Person Shooter': 6604, 'Action': 5493, 'Online Co-Op': 4883, 'Tactical': 4590, 'Co-op': 3903, 'First-Person': 3648, 'Strategy': 2807, 'Early Access': 2676, 'Competitive': 2041, 'Third Person': 1993, 'Team-Based': 1750, 'Difficult': 1490, 'Simulation': 1138, 'Stealth': 1055}",PUBG: BATTLEGROUNDS,337439,361994.0,394614.0,390789.0,386473.0,390918.0
440,Team Fortress 2,Valve,Valve,nan,778605,51931,0,"50,000,000 .. 100,000,000",9530,1142,346,220,0.0,0.0,0.0,96251,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","Action, Free to Play","{'Free to Play': 61214, 'Hero Shooter': 60442, 'Multiplayer': 21646, 'FPS': 14503, 'Shooter': 11831, 'Action': 11357, 'Class-Based': 8934, 'Team-Based': 8566, 'Funny': 8407, 'First-Person': 7203, 'Online Co-Op': 6734, 'Competitive': 6595, 'Cartoony': 6584, 'Trading': 6376, 'Co-op': 5311, 'Comedy': 4748, 'Robots': 4256, 'Tactical': 3638, 'Cartoon': 3554, 'Crafting': 3399}",Team Fortress 2,96481,91658.0,82811.0,94640.0,119136.0,101173.0
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,nan,418857,39237,0,"20,000,000 .. 50,000,000",5000,2483,311,366,0.0,0.0,0.0,56276,English,"Action, Adventure, Casual, Free to Play, Indie","{'Free to Play': 36114, 'Survival': 15826, 'Zombies': 14789, 'Open World Survival Craft': 14489, 'Multiplayer': 13934, 'Open World': 12438, 'Adventure': 9373, 'Crafting': 9004, 'Action': 7925, 'First-Person': 7655, 'Co-op': 7337, 'Sandbox': 6810, 'Shooter': 6575, 'Post-apocalyptic': 6430, 'FPS': 5788, 'Singleplayer': 5440, 'Massively Multiplayer': 4384, 'Indie': 4156, 'Casual': 3720, 'Atmospheric': 3676}",Unturned,29749,29887.0,30350.0,29425.0,28417.0,28741.0
230410,Warframe,Digital Extremes,Digital Extremes,nan,415965,43899,0,"20,000,000 .. 50,000,000",10285,1163,413,550,0.0,0.0,0.0,51695,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainian","Action, Free to Play","{'Free to Play': 14780, 'Looter Shooter': 14446, 'Action': 8074, 'Multiplayer': 7253, 'Co-op': 7252, 'Third-Person Shooter': 6440, 'Sci-fi': 5713, 'Ninja': 5192, 'Shooter': 5043, 'Parkour': 4576, 'Space': 4432, 'Online Co-Op': 4269, 'Third Person': 3221, 'Futuristic': 3221, 'Massively Multiplayer': 3092, 'PvE': 2960, 'RPG': 2547, 'Hack and Slash': 2216, 'Singleplayer': 2099, 'FPS': 1805}",Warframe,58369,66865.0,67638.0,73133.0,55682.0,65531.0
105600,Terraria,Re-Logic,Re-Logic,nan,848986,17777,0,"20,000,000 .. 50,000,000",6562,362,2103,76,499.0,999.0,50.0,52464,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese","Action, Adventure, Indie, RPG","{'Open World Survival Craft': 14440, 'Sandbox': 14220, 'Survival': 11015, '2D': 10676, 'Multiplayer': 10367, 'Adventure': 10149, 'Crafting': 9371, 'Pixel Graphics': 8846, 'Building': 8777, 'Exploration': 7629, 'Co-op': 6611, 'Open World': 6420, 'Indie': 5144, 'Online Co-Op': 5035, 'Action': 4893, 'RPG': 4434, 'Singleplayer': 4335, 'Replay Value': 3563, 'Platformer': 3485, 'Atmospheric': 2960}",Terraria,40345,34243.0,37817.0,37970.0,38879.0,42664.0
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,nan,1042852,200566,0,"20,000,000 .. 50,000,000",12962,650,6344,168,1480.0,1480.0,0.0,99200,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese, Simplified Chinese, Spanish - Latin America","Action, Adventure","{'Open World': 29538, 'Action': 21596, 'Multiplayer': 19767, 'Automobile Sim': 17732, 'Crime': 17467, 'Third Person': 17303, 'First-Person': 17037, 'Shooter': 13476, 'Adventure': 12549, 'Mature': 12173, 'Singleplayer': 11232, 'Third-Person Shooter': 11006, 'Racing': 10621, 'Co-op': 9297, 'Atmospheric': 9251, 'Sandbox': 9106, 'Funny': 8526, 'Great Soundtrack': 8028, 'Comedy': 7826, 'Moddable': 5684}",Grand Theft Auto V,110644,123967.0,172172.0,167466.0,133049.0,126026.0
1063730,New World,Amazon Games,Amazon Games,nan,141237,59305,0,"20,000,000 .. 50,000,000",6525,1244,4027,652,2999.0,3999.0,25.0,140165,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Spanish - Latin America","Action, Adventure, Massively Multiplayer, RPG","{'Massively Multiplayer': 509, 'Open World': 465, 'MMORPG': 452, 'Adventure': 415, 'RPG': 413, 'Action': 364, 'PvP': 300, 'PvE': 289, 'Multiplayer': 225, 'Fantasy': 216, 'Character Customization': 190, 'Walking Simulator': 184, 'Crafting': 173, 'Third Person': 165, 'Open World Survival Craft': 124, 'Sandbox': 120, 'Co-op': 118, 'Violent': 110, 'Souls-like': 72, 'Sexual Content': 59}",New World,559590,603472.0,nan,nan,nan,nan
252490,Rust,Facepunch Studios,Facepunch Studios,nan,617698,93109,0,"20,000,000 .. 50,000,000",17724,1061,3373,624,2679.0,3999.0,33.0,67925,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese","Action, Adventure, Indie, Massively Multiplayer, RPG","{'Survival': 15841, 'Crafting': 9997, 'Multiplayer': 9792, 'Open World': 9271, 'Open World Survival Craft': 7146, 'Building': 6844, 'Sandbox': 6317, 'PvP': 6242, 'Adventure': 5044, 'First-Person': 4298, 'Action': 4062, 'FPS': 3819, 'Nudity': 3727, 'Co-op': 3043, 'Shooter': 3000, 'Online Co-Op': 2977, 'Indie': 2775, 'Early Access': 2686, 'Post-apocalyptic': 2370, 'Simulation': 2100}",Rust,87107,92190.0,106505.0,118552.0,106747.0,104590.0
291550,Brawlhalla,Blue Mammoth Games,Ubisoft,nan,216794,39579,0,"20,000,000 .. 50,000,000",2322,309,207,86,0.0,0.0,0.0,19470,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Action, Free to Play, Indie","{'Free to Play': 3697, 'Multiplayer': 2652, 'Fighting': 2519, 'Casual': 1965, '2D Fighter': 1854, 'Fantasy': 1850, '2D Platformer': 1841, 'Family Friendly': 1831, 'Action': 1824, 'Cartoony': 1813, 'Local Multiplayer': 1812, 'Co-op': 1808, 'e-sports': 1804, 'Platformer': 1803, 'Online Co-Op': 1802, 'Controller': 1794, '4 Player Local': 1789, 'Local Co-Op': 1781, 'Singleplayer': 1776, 'Indie': 1775}",Brawlhalla,25710,23833.0,23431.0,21707.0,23323.0,25558.0
4000,Garry's Mod,Facepunch Studios,Valve,nan,739011,26002,0,"20,000,000 .. 50,000,000",9869,295,1703,190,669.0,999.0,33.0,24273,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Indie, Simulation","{'Sandbox': 17166, 'Multiplayer': 13351, 'Funny': 11894, 'Moddable': 9494, 'Building': 9295, 'Comedy': 8041, 'Co-op': 7960, 'Mod': 7838, 'First-Person': 7684, 'Physics': 6561, 'Simulation': 6461, 'Online Co-Op': 6304, 'FPS': 5945, 'Singleplayer': 5855, 'Action': 5368, 'Shooter': 5174, 'Animation & Modeling': 5161, 'Indie': 4863, 'Adventure': 4511, 'Massively Multiplayer': 4508}",Garry's Mod,33063,32185.0,37432.0,37765.0,36130.0,35980.0
359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,nan,875939,125956,0,"20,000,000 .. 50,000,000",13167,464,3049,152,799.0,1999.0,60.0,58996,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thai",Action,"{'FPS': 9078, 'Hero Shooter': 8622, 'Multiplayer': 7031, 'Tactical': 6382, 'Shooter': 6062, 'Team-Based': 5256, 'Action': 4614, 'First-Person': 4493, 'Competitive': 3686, 'Co-op': 3595, 'Strategy': 3535, 'Realistic': 3105, 'Online Co-Op': 2978, 'Destruction': 2801, 'Physics': 1697, 'Atmospheric': 1478, 'Singleplayer': 1354, 'Massively Multiplayer': 1336, 'Casual': 1119, 'Simulation': 1020}",Tom Clancy's Rainbow Six Siege,66823,82089.0,76410.0,80238.0,83549.0,87546.0
1172470,Apex Legends,Respawn Entertainment,Electronic Arts,nan,306338,47137,0,"20,000,000 .. 50,000,000",3925,587,577,266,0.0,0.0,0.0,142152,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Action, Adventure, Free to Play","{'Free to Play': 974, 'Battle Royale': 691, 'Multiplayer': 691, 'Shooter': 664, 'First-Person': 627, 'FPS': 501, 'PvP': 499, 'Hero Shooter': 457, 'Action': 446, 'Team-Based': 437, 'Character Customization': 334, 'Survival': 334, 'Tactical': 327, 'Sci-fi': 326, 'Loot': 315, 'Funny': 308, 'Lore-Rich': 273, 'Cyberpunk': 261, 'Cinematic': 226, 'Science': 217}",Apex Legends,229028,237293.0,275148.0,226236.0,241257.0,265237.0
236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,nan,207292,54723,0,"20,000,000 .. 50,000,000",5712,650,315,229,0.0,0.0,0.0,27256,"English, German, French, Italian, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Czech, Turkish, Portuguese, Korean, Portuguese - Brazil, Hungarian, Ukrainian, Traditional Chinese, Romanian","Action, Free to Play, Massively Multiplayer, Simulation","{'Free to Play': 6180, 'World War II': 3393, 'Multiplayer': 3192, 'Simulation': 3150, 'War': 3123, 'Flight': 3115, 'Tanks': 3026, 'Military': 2736, 'Massively Multiplayer': 2163, 'Action': 2023, 'Realistic': 1828, 'Historical': 1639, 'Shooter': 1438, 'Team-Based': 1342, 'Cold War': 1331, 'Singleplayer': 1307, 'PvP': 1239, 'Naval': 1233, 'Online Co-Op': 1209, 'Physics': 1149}",War Thunder,35278,35764.0,33898.0,31439.0,34460.0,35477.0
